image_id,article_slug,article_title,category_path,position,local_path,status,bytes,src,inline_base64,alt,article_url
adding-a-cancellation-policy-to-large-parties__img01,adding-a-cancellation-policy-to-large-parties,Large Party Cancellation Policy,general,1,images/general/adding-a-cancellation-policy-to-large-parties/adding-a-cancellation-policy-to-large-parties__img01.png,ok,490286,https://cdn.kustomerhostedcontent.com/media/6036f66758799c770950d98d/6a3498acec18d2e92d658d4941c088b9.png,no,,https://helpdesk.resy.com/en_us/adding-a-cancellation-policy-to-large-parties-Hy9nK01P9
change-your-resy-os-plan__img01,change-your-resy-os-plan,Change Your Resy OS Plan,reporting-analytics,1,images/reporting-analytics/change-your-resy-os-plan/change-your-resy-os-plan__img01.png,ok,158111,,yes,,https://helpdesk.resy.com/en_us/change-your-resy-os-plan-HkUQzwXIu
change-your-resy-os-plan__img02,change-your-resy-os-plan,Change Your Resy OS Plan,reporting-analytics,2,images/reporting-analytics/change-your-resy-os-plan/change-your-resy-os-plan__img02.png,ok,84294,https://cdn.kustomerhostedcontent.com/media/6036f66758799c770950d98d/71dab55f524a3d3c3f878e8e82f83bd5.png,no,,https://helpdesk.resy.com/en_us/change-your-resy-os-plan-HkUQzwXIu
change-your-resy-os-plan__img03,change-your-resy-os-plan,Change Your Resy OS Plan,reporting-analytics,3,images/reporting-analytics/change-your-resy-os-plan/change-your-resy-os-plan__img03.png,ok,58186,,yes,,https://helpdesk.resy.com/en_us/change-your-resy-os-plan-HkUQzwXIu
change-your-resy-os-plan__img04,change-your-resy-os-plan,Change Your Resy OS Plan,reporting-analytics,4,images/reporting-analytics/change-your-resy-os-plan/change-your-resy-os-plan__img04.png,ok,78436,,yes,,https://helpdesk.resy.com/en_us/change-your-resy-os-plan-HkUQzwXIu
change-your-resy-os-plan__img05,change-your-resy-os-plan,Change Your Resy OS Plan,reporting-analytics,5,images/reporting-analytics/change-your-resy-os-plan/change-your-resy-os-plan__img05.png,ok,185587,,yes,,https://helpdesk.resy.com/en_us/change-your-resy-os-plan-HkUQzwXIu
availability-and-pacing-updates__img01,availability-and-pacing-updates,Availability and Pacing Updates,getting-started-settings/reservation-settings,1,images/getting-started-settings/reservation-settings/availability-and-pacing-updates/availability-and-pacing-updates__img01.png,ok,116301,,yes,"A screenshot of a computer

Description automatically generated with medium confidence",https://helpdesk.resy.com/en_us/availability-and-pacing-updates-S1T3bPXLd
availability-and-pacing-updates__img02,availability-and-pacing-updates,Availability and Pacing Updates,getting-started-settings/reservation-settings,2,images/getting-started-settings/reservation-settings/availability-and-pacing-updates/availability-and-pacing-updates__img02.png,ok,162832,,yes,"A screenshot of a computer

Description automatically generated with medium confidence",https://helpdesk.resy.com/en_us/availability-and-pacing-updates-S1T3bPXLd
availability-and-pacing-updates__img03,availability-and-pacing-updates,Availability and Pacing Updates,getting-started-settings/reservation-settings,3,images/getting-started-settings/reservation-settings/availability-and-pacing-updates/availability-and-pacing-updates__img03.png,ok,100281,https://cdn.kustomerhostedcontent.com/media/6036f66758799c770950d98d/8eed34ad3f46b7db729b1d76f88545db.png,no,,https://helpdesk.resy.com/en_us/availability-and-pacing-updates-S1T3bPXLd
availability-and-pacing-updates__img04,availability-and-pacing-updates,Availability and Pacing Updates,getting-started-settings/reservation-settings,4,images/getting-started-settings/reservation-settings/availability-and-pacing-updates/availability-and-pacing-updates__img04.png,ok,293325,https://cdn.kustomerhostedcontent.com/media/6036f66758799c770950d98d/8c1eade329e3936061da5493ca45d937.png,no,,https://helpdesk.resy.com/en_us/availability-and-pacing-updates-S1T3bPXLd
